| TOTAL     | BOOK 1    | BOOK 2    | WORD     | 
| ORDER     | ORDER     | ORDER     | ORDER    | 
| FREQUENCY | FREQUENCY | FREQUENCY | SEQUENCE | 
------------------------------------------------ 
     88     |      18   |     70    |gentleman 
     87     |      87   |      0    |   seas 
     86     |      34   |     52    |    red 
     86     |       2   |     84    |husband 
     85     |      35   |     50    |   arms 
     84     |      53   |     31    |  blood 
     84     |      57   |     27    |   fine 
     84     |      41   |     43    |  sound 
     83     |      45   |     38    |  heads 
     83     |      75   |      8    |   land 
     83     |      80   |      3    |   sail 
     83     |      66   |     17    |   wind 
     83     |      21   |     62    |   hair 
     83     |       0   |     83    |tellsons 
     81     |      78   |      3    |    oil 
     81     |      64   |     17    |  order 
     81     |      76   |      5    |beneath 
     81     |      42   |     39    |  hours 
     80     |      57   |     23    |   feel 
     80     |      29   |     51    |question 
     79     |      78   |      1    |   tail 
     79     |      58   |     21    |  mouth 
     79     |      24   |     55    |   love 
     78     |      76   |      2    |  cabin 
     78     |      44   |     34    |  works 
     78     |      36   |     42    |   fell 
     78     |      51   |     27    |turning 
     78     |      78   |      0    |   moby 
     78     |      78   |      0    |    ere 
     77     |      73   |      4    |   vast 
     77     |      42   |     35    | heaven 
     77     |      77   |      0    |  ahabs 
     76     |      43   |     33    | making 
     76     |      76   |      0    |   dick 
     76     |      76   |      0    | sailor 
     76     |       0   |     76    |marquis 
     75     |      24   |     51    | answer 
     75     |      30   |     45    |carried 
     74     |      11   |     63    |   wine 
     74     |      21   |     53    |answered 
     74     |      40   |     34    | fellow 
     74     |      74   |      0    |harpooneer 
     73     |      50   |     23    |  story 
     73     |      67   |      6    |  ocean 
     73     |      32   |     41    |  doubt 
     73     |       1   |     72    | sydney 
     72     |      62   |     10    |  board 
     72     |      45   |     27    |   fast 
     72     |       2   |     70    | prison 
     72     |      20   |     52    |   laid 
     72     |       6   |     66    |  woman 
     72     |      72   |      0    | bildad 
     72     |       0   |     72    |jacques 
     71     |      42   |     29    |straight 
     71     |      14   |     57    | corner 
     71     |      34   |     37    |  heavy 
     71     |      39   |     32    | ground 
     71     |      71   |      0    |  jonah 
     70     |      50   |     20    |suddenly 
     70     |      48   |     22    | common 
     70     |       8   |     62    |stopped 
     70     |      54   |     16    |curious 
     70     |      66   |      4    | waters 
     70     |      70   |      0    |harpoon 
     69     |      39   |     30    |  earth 
     69     |      57   |     12    |   book 
     69     |      37   |     32    |  ready 
     69     |      26   |     43    |dropped 
     68     |      27   |     41    |   kind 
     68     |      22   |     46    | french 
     68     |      30   |     38    |    boy 
     68     |      36   |     32    |   bear 
     68     |      68   |      0    |  peleg 
     67     |      45   |     22    |   king 
     67     |      42   |     25    |purpose 
     67     |      49   |     18    |   form 
     67     |      14   |     53    |  faces 
     67     |      24   |     43    |   wall 
     67     |      67   |      0    |whalemen 
     66     |      40   |     26    | nature 
     66     |      45   |     21    |  sleep 
     66     |      51   |     15    |   mans 
     66     |      30   |     36    |   read 
     65     |      26   |     39    |country 
     65     |      46   |     19    |touching 
     65     |      21   |     44    |repeated 
     65     |      31   |     34    |  table 
     65     |      41   |     24    |   felt 
     65     |      23   |     42    | secret 
     64     |      41   |     23    |   mere 
     64     |      46   |     18    | broken 
     64     |      38   |     26    |  power 
     64     |      64   |      0    |    pip 
     63     |      53   |     10    |  grand 
     63     |      44   |     19    | caught 
     63     |      56   |      7    |peculiar 
     63     |      14   |     49    | window 
     63     |       1   |     62    |  paris 
     62     |      31   |     31    |gutenberg 
     62     |      29   |     33    | pretty 
     62     |      17   |     45    |   lips 
     62     |       5   |     57    | france 
     61     |      12   |     49    | street 
     61     |      11   |     50    |  stone 
     61     |      33   |     28    |   free 
     61     |      39   |     22    |distance 
     61     |      56   |      5    |  chase 
     61     |      38   |     23    |creature 
     61     |       9   |     52    |  women 
     61     |      30   |     31    |   pass 
     61     |      36   |     25    |gentlemen 
     61     |       1   |     60    |daughter 
     61     |      61   |      0    |   mate 
     60     |      33   |     27    |  terms 
     60     |      42   |     18    |   blue 
     60     |      31   |     29    |darkness 
     60     |      52   |      8    |  broad 
     60     |      37   |     23    |  human 
     60     |      17   |     43    |    bad 
     60     |      29   |     31    | person 
     60     |       1   |     59    |    spy 
     60     |      60   |      0    |fishery 
     59     |      46   |     13    |  watch 
     59     |      43   |     16    |  devil 
     59     |      31   |     28    |received 
     59     |      33   |     26    |   fear 
     59     |      23   |     36    |   year 
     59     |      18   |     41    |observed 
     59     |      37   |     22    |  quick 
     58     |      50   |      8    |   mark 
     58     |      10   |     48    |brother 
     58     |      29   |     29    |   cold 
     58     |       9   |     49    | opened 
     58     |      44   |     14    |running 
     58     |      28   |     30    |  touch 
     58     |      17   |     41    | figure 
     58     |      33   |     25    |remained 
     58     |       8   |     50    |   lady 
     58     |       2   |     56    |  saint 
     58     |      58   |      0    |harpooneers 
     57     |      50   |      7    |   view 
     57     |      55   |      2    |  aloft 
     57     |       7   |     50    | breast 
     57     |      18   |     39    |england 
     57     |      45   |     12    |   fact 
     57     |      18   |     39    |  leave 
     57     |       9   |     48    |  usual 
     57     |      36   |     21    |natural 
     57     |      31   |     26    | rising 
     56     |      43   |     13    |  noble 
     56     |      43   |     13    | chance 
     56     |      46   |     10    |    cut 
     56     |      44   |     12    |   wide 
     56     |      38   |     18    | object 
     56     |      34   |     22    |thoughts 
     56     |      36   |     20    |  truth 
     56     |      43   |     13    | sudden 
     56     |       6   |     50    |village 
     56     |       0   |     56    |citizen 
     55     |      47   |      8    |  teeth 
     55     |      53   |      2    |    jaw 
     55     |      38   |     17    | single 
     55     |      39   |     16    |  plain 
     55     |      34   |     21    |forehead 
     55     |      42   |     13    |     em 
     55     |      42   |     13    |stranger 
     55     |      15   |     40    |  spoke 
     55     |      14   |     41    |  moved 
     55     |      12   |     43    |vengeance 
     55     |      23   |     32    |   rose 
     54     |      43   |     11    | rolled 
     54     |      37   |     17    |suppose 
     54     |      12   |     42    | mother 
     54     |      19   |     35    |silence 
     54     |      37   |     17    | aspect 
     54     |       6   |     48    |  paper 
     54     |       1   |     53    |prisoners 
     54     |      27   |     27    |electronic 
     54     |      54   |      0    |sailors 
     54     |      54   |      0    | entire 
     54     |       0   |     54    |  roads 
     53     |      47   |      6    | coffin 
     53     |      40   |     13    |  clear 
     53     |      34   |     19    |account 
     53     |      48   |      5    |  green 
     53     |      33   |     20    |   fair 
     53     |      26   |     27    |    law 
     53     |      29   |     24    |    die 
     52     |      30   |     22    |   late 
     52     |       2   |     50    |  court 
     52     |      47   |      5    |  waves 
     52     |      49   |      3    |  stern 
     52     |      14   |     38    |   city 
     52     |      12   |     40    |  quiet 
     52     |      27   |     25    | number 
     52     |      16   |     36    |remember 
     52     |      52   |      0    | sharks 
     52     |       0   |     52    |wineshop 
     51     |      25   |     26    | bright 
